CommunitySize,ProbPairCoexistence,Seed,Motif,Count
3,0.1,83,3,0
3,0.1,83,4,0
3,0.1,83,5,0
3,0.1,83,6,0
3,0.1,83,7,0
3,0.1,84,1,1
3,0.1,84,2,0
3,0.1,84,3,0
3,0.1,84,4,0
3,0.1,84,5,0
3,0.1,84,6,0
3,0.1,84,7,0
3,0.1,85,1,0
3,0.1,85,2,1
3,0.1,85,3,0
3,0.1,85,4,0
3,0.1,85,5,0
3,0.1,85,6,0
3,0.1,85,7,0
3,0.1,86,1,0
3,0.1,86,2,0
3,0.1,86,3,0
3,0.1,86,4,0
3,0.1,86,5,1
3,0.1,86,6,0
3,0.1,86,7,0
3,0.1,87,1,0
3,0.1,87,2,1
3,0.1,87,3,0
3,0.1,87,4,0
3,0.1,87,5,0
3,0.1,87,6,0
3,0.1,87,7,0
3,0.1,88,1,0
3,0.1,88,2,1
3,0.1,88,3,0
3,0.1,88,4,0
3,0.1,88,5,0
3,0.1,88,6,0
3,0.1,88,7,0
3,0.1,89,1,0
3,0.1,89,2,0
3,0.1,89,3,0
3,0.1,89,4,0
3,0.1,89,5,1
3,0.1,89,6,0
3,0.1,89,7,0
3,0.1,90,1,0
3,0.1,90,2,1
3,0.1,90,3,0
3,0.1,90,4,0
3,0.1,90,5,0
3,0.1,90,6,0
3,0.1,90,7,0
3,0.1,91,1,1
3,0.1,91,2,0
3,0.1,91,3,0
3,0.1,91,4,0
3,0.1,91,5,0
3,0.1,91,6,0
3,0.1,91,7,0
3,0.1,92,1,1
3,0.1,92,2,0
3,0.1,92,3,0
3,0.1,92,4,0
3,0.1,92,5,0
3,0.1,92,6,0
3,0.1,92,7,0
3,0.1,93,1,0
3,0.1,93,2,1
3,0.1,93,3,0
3,0.1,93,4,0
3,0.1,93,5,0
3,0.1,93,6,0
3,0.1,93,7,0
3,0.1,94,1,0
3,0.1,94,2,1
3,0.1,94,3,0
3,0.1,94,4,0
3,0.1,94,5,0
3,0.1,94,6,0
3,0.1,94,7,0
3,0.1,95,1,1
3,0.1,95,2,0
3,0.1,95,3,0
3,0.1,95,4,0
3,0.1,95,5,0
3,0.1,95,6,0
3,0.1,95,7,0
3,0.1,96,1,0
3,0.1,96,2,0
3,0.1,96,3,0
3,0.1,96,4,0
3,0.1,96,5,0
3,0.1,96,6,1
3,0.1,96,7,0
3,0.1,97,1,0
3,0.1,97,2,0
3,0.1,97,3,0
3,0.1,97,4,1
3,0.1,97,5,0
3,0.1,97,6,0
3,0.1,97,7,0
3,0.1,98,1,0
3,0.1,98,2,1
3,0.1,98,3,0
3,0.1,98,4,0
3,0.1,98,5,0
3,0.1,98,6,0
3,0.1,98,7,0
3,0.1,99,1,1
3,0.1,99,2,0
3,0.1,99,3,0
3,0.1,99,4,0
3,0.1,99,5,0
3,0.1,99,6,0
3,0.1,99,7,0
3,0.1,100,1,0
3,0.1,100,2,1
3,0.1,100,3,0
3,0.1,100,4,0
3,0.1,100,5,0
3,0.1,100,6,0
3,0.1,100,7,0
3,0.2,1,1,0
3,0.2,1,2,1
3,0.2,1,3,0
3,0.2,1,4,0
3,0.2,1,5,0
3,0.2,1,6,0
3,0.2,1,7,0
3,0.2,2,1,0
3,0.2,2,2,1
3,0.2,2,3,0
3,0.2,2,4,0
3,0.2,2,5,0
3,0.2,2,6,0
3,0.2,2,7,0
3,0.2,3,1,0
3,0.2,3,2,0
3,0.2,3,3,0
3,0.2,3,4,1
3,0.2,3,5,0
3,0.2,3,6,0
3,0.2,3,7,0
3,0.2,4,1,0
3,0.2,4,2,1
3,0.2,4,3,0
3,0.2,4,4,0
3,0.2,4,5,0
3,0.2,4,6,0
3,0.2,4,7,0
3,0.2,5,1,0
3,0.2,5,2,0
3,0.2,5,3,0
3,0.2,5,4,1
3,0.2,5,5,0
3,0.2,5,6,0
3,0.2,5,7,0
3,0.2,6,1,0
3,0.2,6,2,0
3,0.2,6,3,1
3,0.2,6,4,0
3,0.2,6,5,0
3,0.2,6,6,0
3,0.2,6,7,0
3,0.2,7,1,0
3,0.2,7,2,0
3,0.2,7,3,0
3,0.2,7,4,0
3,0.2,7,5,1
3,0.2,7,6,0
3,0.2,7,7,0
3,0.2,8,1,1
3,0.2,8,2,0
3,0.2,8,3,0
3,0.2,8,4,0
3,0.2,8,5,0
3,0.2,8,6,0
3,0.2,8,7,0
3,0.2,9,1,0
3,0.2,9,2,1
3,0.2,9,3,0
3,0.2,9,4,0
3,0.2,9,5,0
3,0.2,9,6,0
3,0.2,9,7,0
3,0.2,10,1,1
3,0.2,10,2,0
3,0.2,10,3,0
3,0.2,10,4,0
3,0.2,10,5,0
3,0.2,10,6,0
3,0.2,10,7,0
3,0.2,11,1,0
3,0.2,11,2,1
3,0.2,11,3,0
3,0.2,11,4,0
3,0.2,11,5,0
3,0.2,11,6,0
3,0.2,11,7,0
3,0.2,12,1,0
3,0.2,12,2,0
3,0.2,12,3,0
3,0.2,12,4,0
3,0.2,12,5,0
3,0.2,12,6,1
3,0.2,12,7,0
3,0.2,13,1,0
3,0.2,13,2,1
3,0.2,13,3,0
3,0.2,13,4,0
3,0.2,13,5,0
3,0.2,13,6,0
3,0.2,13,7,0
3,0.2,14,1,0
3,0.2,14,2,0
3,0.2,14,3,0
3,0.2,14,4,1
3,0.2,14,5,0
3,0.2,14,6,0
3,0.2,14,7,0
3,0.2,15,1,0
3,0.2,15,2,0
3,0.2,15,3,0
3,0.2,15,4,1
3,0.2,15,5,0
3,0.2,15,6,0
3,0.2,15,7,0
3,0.2,16,1,1
3,0.2,16,2,0
3,0.2,16,3,0
3,0.2,16,4,0
3,0.2,16,5,0
3,0.2,16,6,0
3,0.2,16,7,0
3,0.2,17,1,0
3,0.2,17,2,0
3,0.2,17,3,0
3,0.2,17,4,0
3,0.2,17,5,1
3,0.2,17,6,0
3,0.2,17,7,0
3,0.2,18,1,0
3,0.2,18,2,0
3,0.2,18,3,0
3,0.2,18,4,0
3,0.2,18,5,0
3,0.2,18,6,1
3,0.2,18,7,0
3,0.2,19,1,0
3,0.2,19,2,1
3,0.2,19,3,0
3,0.2,19,4,0
3,0.2,19,5,0
3,0.2,19,6,0
3,0.2,19,7,0
3,0.2,20,1,0
3,0.2,20,2,0
3,0.2,20,3,0
3,0.2,20,4,1
3,0.2,20,5,0
3,0.2,20,6,0
3,0.2,20,7,0
3,0.2,21,1,1
3,0.2,21,2,0
3,0.2,21,3,0
3,0.2,21,4,0
3,0.2,21,5,0
3,0.2,21,6,0
3,0.2,21,7,0
3,0.2,22,1,0
3,0.2,22,2,0
3,0.2,22,3,0
3,0.2,22,4,1
3,0.2,22,5,0
3,0.2,22,6,0
3,0.2,22,7,0
3,0.2,23,1,0
3,0.2,23,2,1
3,0.2,23,3,0
3,0.2,23,4,0
3,0.2,23,5,0
3,0.2,23,6,0
3,0.2,23,7,0
3,0.2,24,1,0
3,0.2,24,2,1
3,0.2,24,3,0
3,0.2,24,4,0
3,0.2,24,5,0
3,0.2,24,6,0
3,0.2,24,7,0
3,0.2,25,1,0
3,0.2,25,2,1
3,0.2,25,3,0
3,0.2,25,4,0
3,0.2,25,5,0
3,0.2,25,6,0
3,0.2,25,7,0
3,0.2,26,1,0
3,0.2,26,2,0
3,0.2,26,3,1
3,0.2,26,4,0
3,0.2,26,5,0
3,0.2,26,6,0
3,0.2,26,7,0
3,0.2,27,1,0
3,0.2,27,2,0
3,0.2,27,3,0
3,0.2,27,4,0
3,0.2,27,5,0
3,0.2,27,6,1
3,0.2,27,7,0
3,0.2,28,1,0
3,0.2,28,2,1
3,0.2,28,3,0
3,0.2,28,4,0
3,0.2,28,5,0
3,0.2,28,6,0
3,0.2,28,7,0
3,0.2,29,1,0
3,0.2,29,2,1
3,0.2,29,3,0
3,0.2,29,4,0
3,0.2,29,5,0
3,0.2,29,6,0
3,0.2,29,7,0
3,0.2,30,1,1
3,0.2,30,2,0
3,0.2,30,3,0
3,0.2,30,4,0
3,0.2,30,5,0
3,0.2,30,6,0
3,0.2,30,7,0
3,0.2,31,1,0
3,0.2,31,2,0
3,0.2,31,3,0
3,0.2,31,4,1
3,0.2,31,5,0
3,0.2,31,6,0
3,0.2,31,7,0
3,0.2,32,1,0
3,0.2,32,2,0
3,0.2,32,3,0
3,0.2,32,4,0
3,0.2,32,5,1
3,0.2,32,6,0
3,0.2,32,7,0
3,0.2,33,1,1
3,0.2,33,2,0
3,0.2,33,3,0
3,0.2,33,4,0
3,0.2,33,5,0
3,0.2,33,6,0
3,0.2,33,7,0
3,0.2,34,1,0
3,0.2,34,2,0
3,0.2,34,3,0
3,0.2,34,4,0
3,0.2,34,5,0
3,0.2,34,6,1
3,0.2,34,7,0
3,0.2,35,1,0
3,0.2,35,2,0
3,0.2,35,3,0
3,0.2,35,4,1
3,0.2,35,5,0
3,0.2,35,6,0
3,0.2,35,7,0
3,0.2,36,1,0
3,0.2,36,2,0
3,0.2,36,3,0
3,0.2,36,4,0
3,0.2,36,5,1
3,0.2,36,6,0
3,0.2,36,7,0
3,0.2,37,1,1
3,0.2,37,2,0
3,0.2,37,3,0
3,0.2,37,4,0
3,0.2,37,5,0
3,0.2,37,6,0
3,0.2,37,7,0
3,0.2,38,1,0
3,0.2,38,2,1
3,0.2,38,3,0
3,0.2,38,4,0
3,0.2,38,5,0
3,0.2,38,6,0
3,0.2,38,7,0
3,0.2,39,1,0
3,0.2,39,2,1
3,0.2,39,3,0
3,0.2,39,4,0
3,0.2,39,5,0
3,0.2,39,6,0
3,0.2,39,7,0
3,0.2,40,1,0
3,0.2,40,2,0
3,0.2,40,3,0
3,0.2,40,4,1
3,0.2,40,5,0
3,0.2,40,6,0
3,0.2,40,7,0
3,0.2,41,1,0
3,0.2,41,2,0
3,0.2,41,3,0
3,0.2,41,4,0
3,0.2,41,5,1
3,0.2,41,6,0
3,0.2,41,7,0
3,0.2,42,1,0
3,0.2,42,2,0
3,0.2,42,3,0
3,0.2,42,4,0
3,0.2,42,5,0
3,0.2,42,6,1
3,0.2,42,7,0
3,0.2,43,1,0
3,0.2,43,2,0
3,0.2,43,3,1
3,0.2,43,4,0
3,0.2,43,5,0
3,0.2,43,6,0
3,0.2,43,7,0
3,0.2,44,1,1
3,0.2,44,2,0
3,0.2,44,3,0
3,0.2,44,4,0
3,0.2,44,5,0
3,0.2,44,6,0
3,0.2,44,7,0
3,0.2,45,1,0
3,0.2,45,2,1
3,0.2,45,3,0
3,0.2,45,4,0
3,0.2,45,5,0
3,0.2,45,6,0
3,0.2,45,7,0
3,0.2,46,1,0
3,0.2,46,2,1
3,0.2,46,3,0
3,0.2,46,4,0
3,0.2,46,5,0
3,0.2,46,6,0
3,0.2,46,7,0
3,0.2,47,1,0
3,0.2,47,2,0
3,0.2,47,3,0
3,0.2,47,4,1
3,0.2,47,5,0
3,0.2,47,6,0
3,0.2,47,7,0
3,0.2,48,1,0
3,0.2,48,2,1
3,0.2,48,3,0
3,0.2,48,4,0
3,0.2,48,5,0
3,0.2,48,6,0
3,0.2,48,7,0
3,0.2,49,1,1
3,0.2,49,2,0
3,0.2,49,3,0
3,0.2,49,4,0
3,0.2,49,5,0
3,0.2,49,6,0
3,0.2,49,7,0
3,0.2,50,1,0
3,0.2,50,2,1
3,0.2,50,3,0
3,0.2,50,4,0
3,0.2,50,5,0
3,0.2,50,6,0
3,0.2,50,7,0
3,0.2,51,1,0
3,0.2,51,2,1
3,0.2,51,3,0
3,0.2,51,4,0
3,0.2,51,5,0
3,0.2,51,6,0
3,0.2,51,7,0
3,0.2,52,1,0
3,0.2,52,2,0
3,0.2,52,3,0
3,0.2,52,4,1
3,0.2,52,5,0
3,0.2,52,6,0
3,0.2,52,7,0
3,0.2,53,1,0
3,0.2,53,2,1
3,0.2,53,3,0
3,0.2,53,4,0
3,0.2,53,5,0
3,0.2,53,6,0
3,0.2,53,7,0
3,0.2,54,1,0
3,0.2,54,2,0
3,0.2,54,3,1
3,0.2,54,4,0
3,0.2,54,5,0
3,0.2,54,6,0
3,0.2,54,7,0
3,0.2,55,1,0
3,0.2,55,2,1
3,0.2,55,3,0
3,0.2,55,4,0
3,0.2,55,5,0
3,0.2,55,6,0
3,0.2,55,7,0
3,0.2,56,1,0
3,0.2,56,2,1
3,0.2,56,3,0
3,0.2,56,4,0
3,0.2,56,5,0
3,0.2,56,6,0
3,0.2,56,7,0
3,0.2,57,1,1
3,0.2,57,2,0
3,0.2,57,3,0
3,0.2,57,4,0
3,0.2,57,5,0
3,0.2,57,6,0
3,0.2,57,7,0
3,0.2,58,1,0
3,0.2,58,2,1
3,0.2,58,3,0
3,0.2,58,4,0
3,0.2,58,5,0
3,0.2,58,6,0
3,0.2,58,7,0
3,0.2,59,1,0
3,0.2,59,2,0
3,0.2,59,3,0
3,0.2,59,4,1
3,0.2,59,5,0
3,0.2,59,6,0
3,0.2,59,7,0
3,0.2,60,1,1
3,0.2,60,2,0
3,0.2,60,3,0
3,0.2,60,4,0
3,0.2,60,5,0
3,0.2,60,6,0
3,0.2,60,7,0
3,0.2,61,1,0
3,0.2,61,2,0
3,0.2,61,3,0
3,0.2,61,4,1
3,0.2,61,5,0
3,0.2,61,6,0
3,0.2,61,7,0
3,0.2,62,1,1
3,0.2,62,2,0
3,0.2,62,3,0
3,0.2,62,4,0
3,0.2,62,5,0
3,0.2,62,6,0
3,0.2,62,7,0
3,0.2,63,1,0
3,0.2,63,2,0
3,0.2,63,3,0
3,0.2,63,4,0
3,0.2,63,5,1
3,0.2,63,6,0
3,0.2,63,7,0
3,0.2,64,1,0
3,0.2,64,2,0
3,0.2,64,3,0
3,0.2,64,4,1
3,0.2,64,5,0
3,0.2,64,6,0
3,0.2,64,7,0
3,0.2,65,1,1
3,0.2,65,2,0
3,0.2,65,3,0
3,0.2,65,4,0
3,0.2,65,5,0
3,0.2,65,6,0
3,0.2,65,7,0
3,0.2,66,1,0
3,0.2,66,2,0
3,0.2,66,3,0
3,0.2,66,4,0
3,0.2,66,5,0
3,0.2,66,6,1
3,0.2,66,7,0
3,0.2,67,1,0
3,0.2,67,2,0
3,0.2,67,3,0
3,0.2,67,4,1
3,0.2,67,5,0
3,0.2,67,6,0
3,0.2,67,7,0
3,0.2,68,1,0
3,0.2,68,2,0
3,0.2,68,3,1
3,0.2,68,4,0
3,0.2,68,5,0
3,0.2,68,6,0
3,0.2,68,7,0
3,0.2,69,1,0
3,0.2,69,2,1
3,0.2,69,3,0
3,0.2,69,4,0
3,0.2,69,5,0
3,0.2,69,6,0
3,0.2,69,7,0
3,0.2,70,1,0
3,0.2,70,2,0
3,0.2,70,3,0
3,0.2,70,4,0
3,0.2,70,5,1
3,0.2,70,6,0
3,0.2,70,7,0
3,0.2,71,1,1
3,0.2,71,2,0
3,0.2,71,3,0
3,0.2,71,4,0
3,0.2,71,5,0
3,0.2,71,6,0
3,0.2,71,7,0
3,0.2,72,1,0
3,0.2,72,2,0
3,0.2,72,3,0
3,0.2,72,4,0
3,0.2,72,5,0
3,0.2,72,6,0
3,0.2,72,7,1
3,0.2,73,1,1
3,0.2,73,2,0
3,0.2,73,3,0
3,0.2,73,4,0
3,0.2,73,5,0
3,0.2,73,6,0
3,0.2,73,7,0
3,0.2,74,1,0
3,0.2,74,2,1
3,0.2,74,3,0
3,0.2,74,4,0
3,0.2,74,5,0
3,0.2,74,6,0
3,0.2,74,7,0
3,0.2,75,1,0
3,0.2,75,2,1
3,0.2,75,3,0
3,0.2,75,4,0
3,0.2,75,5,0
3,0.2,75,6,0
3,0.2,75,7,0
3,0.2,76,1,0
3,0.2,76,2,1
3,0.2,76,3,0
3,0.2,76,4,0
3,0.2,76,5,0
3,0.2,76,6,0
3,0.2,76,7,0
3,0.2,77,1,0
3,0.2,77,2,0
3,0.2,77,3,0
3,0.2,77,4,1
3,0.2,77,5,0
3,0.2,77,6,0
3,0.2,77,7,0
3,0.2,78,1,0
3,0.2,78,2,0
3,0.2,78,3,0
3,0.2,78,4,1
3,0.2,78,5,0
3,0.2,78,6,0
3,0.2,78,7,0
3,0.2,79,1,0
3,0.2,79,2,0
3,0.2,79,3,1
3,0.2,79,4,0
3,0.2,79,5,0
3,0.2,79,6,0
3,0.2,79,7,0
3,0.2,80,1,0
3,0.2,80,2,1
3,0.2,80,3,0
3,0.2,80,4,0
3,0.2,80,5,0
3,0.2,80,6,0
3,0.2,80,7,0
3,0.2,81,1,0
3,0.2,81,2,0
3,0.2,81,3,0
3,0.2,81,4,0
3,0.2,81,5,1
3,0.2,81,6,0
3,0.2,81,7,0
3,0.2,82,1,0
3,0.2,82,2,1
3,0.2,82,3,0
3,0.2,82,4,0
3,0.2,82,5,0
3,0.2,82,6,0
3,0.2,82,7,0
3,0.2,83,1,0
3,0.2,83,2,1
3,0.2,83,3,0
3,0.2,83,4,0
3,0.2,83,5,0
3,0.2,83,6,0
3,0.2,83,7,0
3,0.2,84,1,0
3,0.2,84,2,0
3,0.2,84,3,0
3,0.2,84,4,1
3,0.2,84,5,0
3,0.2,84,6,0
3,0.2,84,7,0
3,0.2,85,1,0
3,0.2,85,2,1
3,0.2,85,3,0
3,0.2,85,4,0
3,0.2,85,5,0
3,0.2,85,6,0
3,0.2,85,7,0
3,0.2,86,1,0
3,0.2,86,2,0
3,0.2,86,3,0
3,0.2,86,4,0
3,0.2,86,5,1
3,0.2,86,6,0
3,0.2,86,7,0
3,0.2,87,1,0
3,0.2,87,2,1
3,0.2,87,3,0
3,0.2,87,4,0
3,0.2,87,5,0
3,0.2,87,6,0
3,0.2,87,7,0
3,0.2,88,1,1
3,0.2,88,2,0
3,0.2,88,3,0
3,0.2,88,4,0
3,0.2,88,5,0
3,0.2,88,6,0
3,0.2,88,7,0
3,0.2,89,1,0
3,0.2,89,2,0
3,0.2,89,3,0
3,0.2,89,4,0
3,0.2,89,5,1
3,0.2,89,6,0
3,0.2,89,7,0
3,0.2,90,1,0
3,0.2,90,2,0
3,0.2,90,3,0
3,0.2,90,4,1
3,0.2,90,5,0
3,0.2,90,6,0
3,0.2,90,7,0
3,0.2,91,1,0
3,0.2,91,2,1
3,0.2,91,3,0
3,0.2,91,4,0
3,0.2,91,5,0
3,0.2,91,6,0
3,0.2,91,7,0
3,0.2,92,1,1
3,0.2,92,2,0
3,0.2,92,3,0
3,0.2,92,4,0
3,0.2,92,5,0
3,0.2,92,6,0
3,0.2,92,7,0
3,0.2,93,1,0
3,0.2,93,2,1
3,0.2,93,3,0
3,0.2,93,4,0
3,0.2,93,5,0
3,0.2,93,6,0
3,0.2,93,7,0
3,0.2,94,1,0
3,0.2,94,2,0
3,0.2,94,3,1
3,0.2,94,4,0
3,0.2,94,5,0
3,0.2,94,6,0
3,0.2,94,7,0
3,0.2,95,1,1
3,0.2,95,2,0
3,0.2,95,3,0
3,0.2,95,4,0
3,0.2,95,5,0
3,0.2,95,6,0
3,0.2,95,7,0
3,0.2,96,1,0
3,0.2,96,2,0
3,0.2,96,3,0
3,0.2,96,4,0
3,0.2,96,5,0
3,0.2,96,6,1
3,0.2,96,7,0
3,0.2,97,1,0
3,0.2,97,2,0
3,0.2,97,3,0
3,0.2,97,4,1
3,0.2,97,5,0
3,0.2,97,6,0
3,0.2,97,7,0
3,0.2,98,1,0
3,0.2,98,2,1
3,0.2,98,3,0
3,0.2,98,4,0
3,0.2,98,5,0
3,0.2,98,6,0
3,0.2,98,7,0
3,0.2,99,1,1
3,0.2,99,2,0
3,0.2,99,3,0
3,0.2,99,4,0
3,0.2,99,5,0
3,0.2,99,6,0
3,0.2,99,7,0
3,0.2,100,1,0
3,0.2,100,2,1
3,0.2,100,3,0
3,0.2,100,4,0
3,0.2,100,5,0
3,0.2,100,6,0
3,0.2,100,7,0
3,0.3,1,1,0
3,0.3,1,2,1
3,0.3,1,3,0
3,0.3,1,4,0
3,0.3,1,5,0
3,0.3,1,6,0
3,0.3,1,7,0
3,0.3,2,1,0
3,0.3,2,2,0
3,0.3,2,3,0
3,0.3,2,4,0
3,0.3,2,5,1
3,0.3,2,6,0
3,0.3,2,7,0
3,0.3,3,1,0
3,0.3,3,2,0
3,0.3,3,3,0
3,0.3,3,4,0
3,0.3,3,5,1
3,0.3,3,6,0
3,0.3,3,7,0
3,0.3,4,1,0
3,0.3,4,2,1
3,0.3,4,3,0
3,0.3,4,4,0
3,0.3,4,5,0
3,0.3,4,6,0
3,0.3,4,7,0
3,0.3,5,1,0
3,0.3,5,2,0
3,0.3,5,3,0
3,0.3,5,4,1
3,0.3,5,5,0
3,0.3,5,6,0
3,0.3,5,7,0
3,0.3,6,1,0
3,0.3,6,2,0
3,0.3,6,3,1
3,0.3,6,4,0
3,0.3,6,5,0
3,0.3,6,6,0
3,0.3,6,7,0
3,0.3,7,1,0
3,0.3,7,2,0
3,0.3,7,3,0
3,0.3,7,4,1
3,0.3,7,5,0
3,0.3,7,6,0
3,0.3,7,7,0
3,0.3,8,1,0
3,0.3,8,2,0
3,0.3,8,3,0
3,0.3,8,4,1
3,0.3,8,5,0
3,0.3,8,6,0
3,0.3,8,7,0
3,0.3,9,1,0
3,0.3,9,2,1
3,0.3,9,3,0
3,0.3,9,4,0
3,0.3,9,5,0
3,0.3,9,6,0
3,0.3,9,7,0
3,0.3,10,1,1
3,0.3,10,2,0
3,0.3,10,3,0
3,0.3,10,4,0
3,0.3,10,5,0
3,0.3,10,6,0
3,0.3,10,7,0
3,0.3,11,1,0
3,0.3,11,2,1
3,0.3,11,3,0
3,0.3,11,4,0
3,0.3,11,5,0
3,0.3,11,6,0
3,0.3,11,7,0
3,0.3,12,1,0
3,0.3,12,2,0
3,0.3,12,3,0
3,0.3,12,4,0
3,0.3,12,5,0
3,0.3,12,6,1
3,0.3,12,7,0
3,0.3,13,1,0
3,0.3,13,2,0
3,0.3,13,3,0
3,0.3,13,4,1
3,0.3,13,5,0
3,0.3,13,6,0
3,0.3,13,7,0
3,0.3,14,1,0
3,0.3,14,2,0
3,0.3,14,3,0
3,0.3,14,4,1
3,0.3,14,5,0
3,0.3,14,6,0
3,0.3,14,7,0
3,0.3,15,1,0
3,0.3,15,2,0
3,0.3,15,3,0
3,0.3,15,4,1
3,0.3,15,5,0
3,0.3,15,6,0
3,0.3,15,7,0
3,0.3,16,1,1
3,0.3,16,2,0
3,0.3,16,3,0
3,0.3,16,4,0
3,0.3,16,5,0
3,0.3,16,6,0
3,0.3,16,7,0
3,0.3,17,1,0
3,0.3,17,2,0
3,0.3,17,3,0
3,0.3,17,4,0
3,0.3,17,5,1
3,0.3,17,6,0
3,0.3,17,7,0
3,0.3,18,1,0
3,0.3,18,2,0
3,0.3,18,3,0
3,0.3,18,4,0
3,0.3,18,5,0
3,0.3,18,6,0
3,0.3,18,7,1
3,0.3,19,1,0
3,0.3,19,2,1
3,0.3,19,3,0
3,0.3,19,4,0
3,0.3,19,5,0
3,0.3,19,6,0
3,0.3,19,7,0
3,0.3,20,1,0
3,0.3,20,2,0
3,0.3,20,3,0
3,0.3,20,4,0
3,0.3,20,5,0
3,0.3,20,6,1
3,0.3,20,7,0
3,0.3,21,1,0
3,0.3,21,2,0
3,0.3,21,3,0
3,0.3,21,4,1
3,0.3,21,5,0
3,0.3,21,6,0
3,0.3,21,7,0
3,0.3,22,1,0
3,0.3,22,2,0
3,0.3,22,3,0
3,0.3,22,4,1
3,0.3,22,5,0
3,0.3,22,6,0
3,0.3,22,7,0
3,0.3,23,1,0
3,0.3,23,2,1
3,0.3,23,3,0
3,0.3,23,4,0
3,0.3,23,5,0
3,0.3,23,6,0
3,0.3,23,7,0
3,0.3,24,1,0
3,0.3,24,2,0
3,0.3,24,3,1
3,0.3,24,4,0
3,0.3,24,5,0
3,0.3,24,6,0
3,0.3,24,7,0
3,0.3,25,1,0
3,0.3,25,2,1
3,0.3,25,3,0
3,0.3,25,4,0
3,0.3,25,5,0
3,0.3,25,6,0
3,0.3,25,7,0
3,0.3,26,1,0
3,0.3,26,2,0
3,0.3,26,3,1
3,0.3,26,4,0
3,0.3,26,5,0
3,0.3,26,6,0
3,0.3,26,7,0
3,0.3,27,1,0
3,0.3,27,2,0
3,0.3,27,3,0
3,0.3,27,4,0
3,0.3,27,5,0
3,0.3,27,6,1
3,0.3,27,7,0
3,0.3,28,1,0
3,0.3,28,2,1
3,0.3,28,3,0
3,0.3,28,4,0
3,0.3,28,5,0
3,0.3,28,6,0
3,0.3,28,7,0
3,0.3,29,1,0
3,0.3,29,2,1
3,0.3,29,3,0
3,0.3,29,4,0
3,0.3,29,5,0
3,0.3,29,6,0
3,0.3,29,7,0
3,0.3,30,1,0
3,0.3,30,2,1
3,0.3,30,3,0
3,0.3,30,4,0
3,0.3,30,5,0
3,0.3,30,6,0
3,0.3,30,7,0
3,0.3,31,1,0
3,0.3,31,2,0
3,0.3,31,3,0
3,0.3,31,4,1
3,0.3,31,5,0
3,0.3,31,6,0
3,0.3,31,7,0
3,0.3,32,1,0
3,0.3,32,2,0
3,0.3,32,3,0
3,0.3,32,4,0
3,0.3,32,5,1
3,0.3,32,6,0
3,0.3,32,7,0
3,0.3,33,1,0
3,0.3,33,2,1
3,0.3,33,3,0
3,0.3,33,4,0
3,0.3,33,5,0
3,0.3,33,6,0
3,0.3,33,7,0
3,0.3,34,1,0
3,0.3,34,2,0
3,0.3,34,3,0
3,0.3,34,4,0
3,0.3,34,5,0
3,0.3,34,6,1
3,0.3,34,7,0
3,0.3,35,1,0
3,0.3,35,2,0
3,0.3,35,3,0
3,0.3,35,4,1
3,0.3,35,5,0
3,0.3,35,6,0
3,0.3,35,7,0
3,0.3,36,1,0
3,0.3,36,2,0
3,0.3,36,3,0
3,0.3,36,4,0
3,0.3,36,5,1
3,0.3,36,6,0
3,0.3,36,7,0
3,0.3,37,1,1
3,0.3,37,2,0
3,0.3,37,3,0
3,0.3,37,4,0
3,0.3,37,5,0
3,0.3,37,6,0
3,0.3,37,7,0
3,0.3,38,1,0
3,0.3,38,2,1
3,0.3,38,3,0
3,0.3,38,4,0
3,0.3,38,5,0
3,0.3,38,6,0
3,0.3,38,7,0
3,0.3,39,1,0
3,0.3,39,2,1
3,0.3,39,3,0
3,0.3,39,4,0
3,0.3,39,5,0
3,0.3,39,6,0
3,0.3,39,7,0
3,0.3,40,1,0
3,0.3,40,2,0
3,0.3,40,3,0
3,0.3,40,4,1
3,0.3,40,5,0
3,0.3,40,6,0
3,0.3,40,7,0
3,0.3,41,1,0
3,0.3,41,2,0
3,0.3,41,3,0
3,0.3,41,4,0
3,0.3,41,5,1
3,0.3,41,6,0
3,0.3,41,7,0
3,0.3,42,1,0
3,0.3,42,2,0
3,0.3,42,3,0
3,0.3,42,4,0
3,0.3,42,5,0
3,0.3,42,6,1
3,0.3,42,7,0
3,0.3,43,1,0
3,0.3,43,2,0
3,0.3,43,3,1
3,0.3,43,4,0
3,0.3,43,5,0
3,0.3,43,6,0
3,0.3,43,7,0
3,0.3,44,1,0
3,0.3,44,2,0
3,0.3,44,3,0
3,0.3,44,4,1
3,0.3,44,5,0
3,0.3,44,6,0
3,0.3,44,7,0
3,0.3,45,1,0
3,0.3,45,2,1
3,0.3,45,3,0
3,0.3,45,4,0
3,0.3,45,5,0
3,0.3,45,6,0
3,0.3,45,7,0
3,0.3,46,1,0
3,0.3,46,2,1
3,0.3,46,3,0
3,0.3,46,4,0
3,0.3,46,5,0
3,0.3,46,6,0
3,0.3,46,7,0
3,0.3,47,1,0
3,0.3,47,2,0
3,0.3,47,3,0
3,0.3,47,4,0
3,0.3,47,5,0
3,0.3,47,6,1
3,0.3,47,7,0
3,0.3,48,1,0
3,0.3,48,2,1
3,0.3,48,3,0
3,0.3,48,4,0
3,0.3,48,5,0
3,0.3,48,6,0
3,0.3,48,7,0
3,0.3,49,1,0
3,0.3,49,2,1
3,0.3,49,3,0
3,0.3,49,4,0
