CommunitySize,ProbPairCoexistence,Seed,Motif,Count
3,0.1,17,7,0
3,0.1,18,1,0
3,0.1,18,2,0
3,0.1,18,3,0
3,0.1,18,4,0
3,0.1,18,5,1
3,0.1,18,6,0
3,0.1,18,7,0
3,0.1,19,1,0
3,0.1,19,2,1
3,0.1,19,3,0
3,0.1,19,4,0
3,0.1,19,5,0
3,0.1,19,6,0
3,0.1,19,7,0
3,0.1,20,1,0
3,0.1,20,2,1
3,0.1,20,3,0
3,0.1,20,4,0
3,0.1,20,5,0
3,0.1,20,6,0
3,0.1,20,7,0
3,0.1,21,1,1
3,0.1,21,2,0
3,0.1,21,3,0
3,0.1,21,4,0
3,0.1,21,5,0
3,0.1,21,6,0
3,0.1,21,7,0
3,0.1,22,1,0
3,0.1,22,2,0
3,0.1,22,3,0
3,0.1,22,4,1
3,0.1,22,5,0
3,0.1,22,6,0
3,0.1,22,7,0
3,0.1,23,1,0
3,0.1,23,2,1
3,0.1,23,3,0
3,0.1,23,4,0
3,0.1,23,5,0
3,0.1,23,6,0
3,0.1,23,7,0
3,0.1,24,1,0
3,0.1,24,2,1
3,0.1,24,3,0
3,0.1,24,4,0
3,0.1,24,5,0
3,0.1,24,6,0
3,0.1,24,7,0
3,0.1,25,1,1
3,0.1,25,2,0
3,0.1,25,3,0
3,0.1,25,4,0
3,0.1,25,5,0
3,0.1,25,6,0
3,0.1,25,7,0
3,0.1,26,1,0
3,0.1,26,2,1
3,0.1,26,3,0
3,0.1,26,4,0
3,0.1,26,5,0
3,0.1,26,6,0
3,0.1,26,7,0
3,0.1,27,1,0
3,0.1,27,2,0
3,0.1,27,3,0
3,0.1,27,4,1
3,0.1,27,5,0
3,0.1,27,6,0
3,0.1,27,7,0
3,0.1,28,1,0
3,0.1,28,2,1
3,0.1,28,3,0
3,0.1,28,4,0
3,0.1,28,5,0
3,0.1,28,6,0
3,0.1,28,7,0
3,0.1,29,1,0
3,0.1,29,2,1
3,0.1,29,3,0
3,0.1,29,4,0
3,0.1,29,5,0
3,0.1,29,6,0
3,0.1,29,7,0
3,0.1,30,1,1
3,0.1,30,2,0
3,0.1,30,3,0
3,0.1,30,4,0
3,0.1,30,5,0
3,0.1,30,6,0
3,0.1,30,7,0
3,0.1,31,1,0
3,0.1,31,2,0
3,0.1,31,3,1
3,0.1,31,4,0
3,0.1,31,5,0
3,0.1,31,6,0
3,0.1,31,7,0
3,0.1,32,1,0
3,0.1,32,2,1
3,0.1,32,3,0
3,0.1,32,4,0
3,0.1,32,5,0
3,0.1,32,6,0
3,0.1,32,7,0
3,0.1,33,1,0
3,0.1,33,2,1
3,0.1,33,3,0
3,0.1,33,4,0
3,0.1,33,5,0
3,0.1,33,6,0
3,0.1,33,7,0
3,0.1,34,1,0
3,0.1,34,2,0
3,0.1,34,3,0
3,0.1,34,4,0
3,0.1,34,5,1
3,0.1,34,6,0
3,0.1,34,7,0
3,0.1,35,1,1
3,0.1,35,2,0
3,0.1,35,3,0
3,0.1,35,4,0
3,0.1,35,5,0
3,0.1,35,6,0
3,0.1,35,7,0
3,0.1,36,1,0
3,0.1,36,2,1
3,0.1,36,3,0
3,0.1,36,4,0
3,0.1,36,5,0
3,0.1,36,6,0
3,0.1,36,7,0
3,0.1,37,1,1
3,0.1,37,2,0
3,0.1,37,3,0
3,0.1,37,4,0
3,0.1,37,5,0
3,0.1,37,6,0
3,0.1,37,7,0
3,0.1,38,1,0
3,0.1,38,2,1
3,0.1,38,3,0
3,0.1,38,4,0
3,0.1,38,5,0
3,0.1,38,6,0
3,0.1,38,7,0
3,0.1,39,1,0
3,0.1,39,2,1
3,0.1,39,3,0
3,0.1,39,4,0
3,0.1,39,5,0
3,0.1,39,6,0
3,0.1,39,7,0
3,0.1,40,1,0
3,0.1,40,2,1
3,0.1,40,3,0
3,0.1,40,4,0
3,0.1,40,5,0
3,0.1,40,6,0
3,0.1,40,7,0
3,0.1,41,1,0
3,0.1,41,2,0
3,0.1,41,3,0
3,0.1,41,4,0
3,0.1,41,5,1
3,0.1,41,6,0
3,0.1,41,7,0
3,0.1,42,1,0
3,0.1,42,2,0
3,0.1,42,3,0
3,0.1,42,4,0
3,0.1,42,5,0
3,0.1,42,6,1
3,0.1,42,7,0
3,0.1,43,1,0
3,0.1,43,2,0
3,0.1,43,3,1
3,0.1,43,4,0
3,0.1,43,5,0
3,0.1,43,6,0
3,0.1,43,7,0
3,0.1,44,1,1
3,0.1,44,2,0
3,0.1,44,3,0
3,0.1,44,4,0
3,0.1,44,5,0
3,0.1,44,6,0
3,0.1,44,7,0
3,0.1,45,1,0
3,0.1,45,2,1
3,0.1,45,3,0
3,0.1,45,4,0
3,0.1,45,5,0
3,0.1,45,6,0
3,0.1,45,7,0
3,0.1,46,1,0
3,0.1,46,2,1
3,0.1,46,3,0
3,0.1,46,4,0
3,0.1,46,5,0
3,0.1,46,6,0
3,0.1,46,7,0
3,0.1,47,1,0
3,0.1,47,2,0
3,0.1,47,3,0
3,0.1,47,4,1
3,0.1,47,5,0
3,0.1,47,6,0
3,0.1,47,7,0
3,0.1,48,1,0
3,0.1,48,2,1
3,0.1,48,3,0
3,0.1,48,4,0
3,0.1,48,5,0
3,0.1,48,6,0
3,0.1,48,7,0
3,0.1,49,1,1
3,0.1,49,2,0
3,0.1,49,3,0
3,0.1,49,4,0
3,0.1,49,5,0
3,0.1,49,6,0
3,0.1,49,7,0
3,0.1,50,1,0
3,0.1,50,2,1
3,0.1,50,3,0
3,0.1,50,4,0
3,0.1,50,5,0
3,0.1,50,6,0
3,0.1,50,7,0
3,0.1,51,1,0
3,0.1,51,2,1
3,0.1,51,3,0
3,0.1,51,4,0
3,0.1,51,5,0
3,0.1,51,6,0
3,0.1,51,7,0
3,0.1,52,1,0
3,0.1,52,2,0
3,0.1,52,3,0
3,0.1,52,4,1
3,0.1,52,5,0
3,0.1,52,6,0
3,0.1,52,7,0
3,0.1,53,1,0
3,0.1,53,2,1
3,0.1,53,3,0
3,0.1,53,4,0
3,0.1,53,5,0
3,0.1,53,6,0
3,0.1,53,7,0
3,0.1,54,1,0
3,0.1,54,2,0
3,0.1,54,3,1
3,0.1,54,4,0
3,0.1,54,5,0
3,0.1,54,6,0
3,0.1,54,7,0
3,0.1,55,1,0
3,0.1,55,2,1
3,0.1,55,3,0
3,0.1,55,4,0
3,0.1,55,5,0
3,0.1,55,6,0
3,0.1,55,7,0
3,0.1,56,1,1
3,0.1,56,2,0
3,0.1,56,3,0
3,0.1,56,4,0
3,0.1,56,5,0
3,0.1,56,6,0
3,0.1,56,7,0
3,0.1,57,1,1
3,0.1,57,2,0
3,0.1,57,3,0
3,0.1,57,4,0
3,0.1,57,5,0
3,0.1,57,6,0
3,0.1,57,7,0
3,0.1,58,1,0
3,0.1,58,2,1
3,0.1,58,3,0
3,0.1,58,4,0
3,0.1,58,5,0
3,0.1,58,6,0
3,0.1,58,7,0
3,0.1,59,1,0
3,0.1,59,2,1
3,0.1,59,3,0
3,0.1,59,4,0
3,0.1,59,5,0
3,0.1,59,6,0
3,0.1,59,7,0
3,0.1,60,1,1
3,0.1,60,2,0
3,0.1,60,3,0
3,0.1,60,4,0
3,0.1,60,5,0
3,0.1,60,6,0
3,0.1,60,7,0
3,0.1,61,1,0
3,0.1,61,2,0
3,0.1,61,3,0
3,0.1,61,4,1
3,0.1,61,5,0
3,0.1,61,6,0
3,0.1,61,7,0
3,0.1,62,1,1
3,0.1,62,2,0
3,0.1,62,3,0
3,0.1,62,4,0
3,0.1,62,5,0
3,0.1,62,6,0
3,0.1,62,7,0
3,0.1,63,1,0
3,0.1,63,2,0
3,0.1,63,3,0
3,0.1,63,4,0
3,0.1,63,5,1
3,0.1,63,6,0
3,0.1,63,7,0
3,0.1,64,1,1
3,0.1,64,2,0
3,0.1,64,3,0
3,0.1,64,4,0
3,0.1,64,5,0
3,0.1,64,6,0
3,0.1,64,7,0
3,0.1,65,1,1
3,0.1,65,2,0
3,0.1,65,3,0
3,0.1,65,4,0
3,0.1,65,5,0
3,0.1,65,6,0
3,0.1,65,7,0
3,0.1,66,1,0
3,0.1,66,2,0
3,0.1,66,3,1
3,0.1,66,4,0
3,0.1,66,5,0
3,0.1,66,6,0
3,0.1,66,7,0
3,0.1,67,1,1
3,0.1,67,2,0
3,0.1,67,3,0
3,0.1,67,4,0
3,0.1,67,5,0
3,0.1,67,6,0
3,0.1,67,7,0
3,0.1,68,1,0
3,0.1,68,2,0
3,0.1,68,3,0
3,0.1,68,4,1
3,0.1,68,5,0
3,0.1,68,6,0
3,0.1,68,7,0
3,0.1,69,1,0
3,0.1,69,2,1
3,0.1,69,3,0
3,0.1,69,4,0
3,0.1,69,5,0
3,0.1,69,6,0
3,0.1,69,7,0
3,0.1,70,1,0
3,0.1,70,2,0
3,0.1,70,3,0
3,0.1,70,4,0
3,0.1,70,5,1
3,0.1,70,6,0
3,0.1,70,7,0
3,0.1,71,1,1
3,0.1,71,2,0
3,0.1,71,3,0
3,0.1,71,4,0
3,0.1,71,5,0
3,0.1,71,6,0
3,0.1,71,7,0
3,0.1,72,1,0
3,0.1,72,2,0
3,0.1,72,3,1
3,0.1,72,4,0
3,0.1,72,5,0
3,0.1,72,6,0
3,0.1,72,7,0
3,0.1,73,1,0
3,0.1,73,2,1
3,0.1,73,3,0
3,0.1,73,4,0
3,0.1,73,5,0
3,0.1,73,6,0
3,0.1,73,7,0
3,0.1,74,1,0
3,0.1,74,2,1
3,0.1,74,3,0
3,0.1,74,4,0
3,0.1,74,5,0
3,0.1,74,6,0
3,0.1,74,7,0
3,0.1,75,1,0
3,0.1,75,2,1
3,0.1,75,3,0
3,0.1,75,4,0
3,0.1,75,5,0
3,0.1,75,6,0
3,0.1,75,7,0
3,0.1,76,1,0
3,0.1,76,2,1
3,0.1,76,3,0
3,0.1,76,4,0
3,0.1,76,5,0
3,0.1,76,6,0
3,0.1,76,7,0
3,0.1,77,1,0
3,0.1,77,2,1
3,0.1,77,3,0
3,0.1,77,4,0
3,0.1,77,5,0
3,0.1,77,6,0
3,0.1,77,7,0
3,0.1,78,1,0
3,0.1,78,2,1
3,0.1,78,3,0
3,0.1,78,4,0
3,0.1,78,5,0
3,0.1,78,6,0
3,0.1,78,7,0
3,0.1,79,1,1
3,0.1,79,2,0
3,0.1,79,3,0
3,0.1,79,4,0
3,0.1,79,5,0
3,0.1,79,6,0
3,0.1,79,7,0
3,0.1,80,1,0
3,0.1,80,2,1
3,0.1,80,3,0
3,0.1,80,4,0
3,0.1,80,5,0
3,0.1,80,6,0
3,0.1,80,7,0
3,0.1,81,1,0
3,0.1,81,2,0
3,0.1,81,3,0
3,0.1,81,4,0
3,0.1,81,5,1
3,0.1,81,6,0
3,0.1,81,7,0
3,0.1,82,1,0
3,0.1,82,2,1
3,0.1,82,3,0
3,0.1,82,4,0
3,0.1,82,5,0
3,0.1,82,6,0
3,0.1,82,7,0
3,0.1,83,1,0
3,0.1,83,2,1
3,0.1,83,3,0
3,0.1,83,4,0
